Timestamp,Temperature,Pressure,FlowRate,BatchID,ProductType,PlantID
2023-01-08 16:10:00,24.828531819335506,1.786014331538126,185.3841982814513,BATCH_6,Cola,Plant_2
2023-01-28 16:32:00,22.537015914967114,1.5095187889988368,133.58989978278953,BATCH_4,Fanta,Plant_2
2023-01-09 10:16:00,22.242412166729896,1.8795341123362315,127.77780497489235,BATCH_3,Cola,Plant_4
2023-01-14 21:09:00,24.749543445341093,2.429627512265041,151.5821123834905,BATCH_5,Cola,Plant_5
2023-01-09 03:03:00,23.267669035511716,1.9648439286646684,117.2952989574173,BATCH_6,Sprite,Plant_2
2023-01-27 05:09:00,24.070630582400774,1.5325014629014642,104.62191434916267,BATCH_4,Cola,Plant_1
2023-01-18 22:24:00,22.607862606738372,1.9295078587645673,101.3171539580753,BATCH_6,Cola,Plant_1
2023-01-23 11:43:00,23.459443280595494,1.7256934198754503,179.91207847970662,BATCH_2,Sprite,Plant_3
2023-01-16 11:39:00,22.15749284328657,2.440176877362648,121.46070709794188,BATCH_2,Cola,Plant_4
2023-01-18 19:44:00,21.0899228441734,2.0839348463798673,125.49588854594859,BATCH_2,Fanta,Plant_3
2023-01-06 08:30:00,23.60086780292384,1.9560124941755657,195.19394983424573,BATCH_8,Fanta,Plant_3
2023-01-08 09:56:00,24.211870363365975,2.450987452160648,170.34605011572714,BATCH_10,Cola,Plant_2
2023-01-22 02:52:00,23.321395510568095,1.6074024265488793,170.88285136889027,BATCH_3,Sprite,Plant_5
2023-01-17 08:25:00,20.474620619031644,2.255596083575484,109.19733405365962,BATCH_2,Cola,Plant_5
2023-01-10 04:05:00,24.816570539773245,2.1622753943914637,160.99424222740703,BATCH_9,Sprite,Plant_4
2023-01-09 16:05:00,20.010641403805764,1.8407273104057915,178.7746926359598,BATCH_8,Fanta,Plant_1
2023-01-27 20:56:00,20.129571248070455,1.8979715701292283,145.84726212042622,BATCH_10,Sprite,Plant_1
2023-01-20 01:55:00,21.463429810289647,1.8094201857645646,158.22628512807182,BATCH_3,Cola,Plant_2
2023-01-19 20:49:00,24.885384608384562,2.2890437872588496,196.46437375208302,BATCH_1,Cola,Plant_5
2023-01-02 18:21:00,22.816598099741594,1.5381661778650453,118.53728113435528,BATCH_1,Sprite,Plant_5
2023-01-05 14:03:00,22.589009669374427,1.5776100734411433,137.94566390940764,BATCH_6,Fanta,Plant_1
2023-01-13 16:53:00,23.427221783438096,2.2326545431127243,128.70497320696563,BATCH_2,Sprite,Plant_1
2023-01-03 06:05:00,20.170644413726812,2.3453911621372394,180.10418775726407,BATCH_2,Cola,Plant_5
2023-01-05 22:52:00,23.933091262093427,1.7212821331482746,157.1005416850713,BATCH_7,Sprite,Plant_3
2023-01-24 09:50:00,24.103706233175295,1.5357267503952663,141.37126864532348,BATCH_2,Cola,Plant_1
2023-01-30 14:12:00,23.3042572686359,2.173464866070948,145.5948089779159,BATCH_3,Sprite,Plant_2
2023-01-24 20:52:00,23.6197349512901,2.0762354141278765,137.56801244413668,BATCH_7,Fanta,Plant_5
2023-01-17 12:29:00,22.893277187107312,1.827217601031959,158.28337679439693,BATCH_4,Cola,Plant_5
2023-01-20 12:52:00,21.074892252734315,1.5647272784561406,144.5442529843571,BATCH_8,Fanta,Plant_5
2023-01-07 21:20:00,21.68215216631447,2.398992738443607,156.27981283956348,BATCH_6,Fanta,Plant_5
2023-01-26 16:38:00,20.757439894824003,1.8735862750764665,130.82490725529408,BATCH_5,Fanta,Plant_2
2023-01-05 16:51:00,23.08037142655676,2.117278142986306,184.71515550555185,BATCH_5,Sprite,Plant_2
2023-01-06 10:38:00,20.228997449713027,2.0447307858204065,127.91572219333015,BATCH_3,Sprite,Plant_5
2023-01-26 10:33:00,21.48168255927908,1.827857902942083,127.26035787132679,BATCH_7,Cola,Plant_1
2023-01-16 21:45:00,22.477192444602505,2.3246169989638945,104.6530157897749,BATCH_3,Fanta,Plant_3
2023-01-10 02:02:00,24.150270421031262,2.284754773206778,140.98142900197615,BATCH_2,Cola,Plant_3
2023-01-22 09:56:00,22.937583469690747,2.0242130871681745,120.77137868208322,BATCH_9,Fanta,Plant_3
2023-01-28 15:23:00,20.562240435814225,1.5655022944470127,114.8250435695464,BATCH_2,Cola,Plant_2
2023-01-30 14:15:00,22.463048518231414,1.7309739732325444,128.41245872675853,BATCH_2,Sprite,Plant_1
2023-01-26 06:44:00,22.100464547917312,2.3833590057575966,185.76267773149533,BATCH_7,Sprite,Plant_3
2023-01-30 00:19:00,22.50924012296786,2.159637572914515,136.78843130357737,BATCH_1,Sprite,Plant_2
2023-01-04 00:39:00,21.322830084946514,1.6857986053767406,130.58487247368024,BATCH_6,Cola,Plant_1
2023-01-02 01:26:00,22.499013867937823,2.4203839871817694,182.02184985673063,BATCH_3,Sprite,Plant_5
2023-01-20 14:15:00,23.164258248723574,1.7176414268590643,162.8899185628254,BATCH_4,Sprite,Plant_4
2023-01-13 14:31:00,21.81162777646668,2.309269178894448,114.42622201191513,BATCH_7,Sprite,Plant_4
2023-01-10 20:01:00,22.22651583715426,2.3850007585408353,157.13953173515452,BATCH_2,Sprite,Plant_4
2023-01-12 08:12:00,20.638627109037497,1.9719850404596766,189.1287656010253,BATCH_1,Fanta,Plant_5
2023-01-11 00:23:00,20.3004566207787,2.4915082037591443,154.50952643240214,BATCH_4,Fanta,Plant_5
2023-01-10 08:20:00,20.19975525519031,2.379718805613064,153.95009753645772,BATCH_5,Sprite,Plant_5
2023-01-03 08:02:00,21.99692680166985,1.902420609227835,197.4758364928153,BATCH_2,Cola,Plant_5
2023-01-21 00:20:00,23.814552568990564,1.9920959767516107,143.12767136243872,BATCH_5,Cola,Plant_1
2023-01-02 16:07:00,22.354244555197432,2.3412258622285043,116.78843804109476,BATCH_9,Cola,Plant_3
